,dialog_act,utterance
0,inform,"any is okay
"
1,request,"and whats the phone number
"
2,request,"and whats the phone number
"
3,inform,"any
"
4,request,"whats the phone number
"
5,inform,"any
"
6,null,"noise
"
7,hello,"hi i am looking for a moderately priced restaurant in the west
"
8,inform,"chinese
"
9,inform,"im looking for a restaurant in the north part of town
"
10,inform,"thai
"
11,request,"where is it
"
12,request,"address
"
13,thankyou,"thank you good bye
"
14,request,"whats the phone number
"
15,inform,"yea im looking for a really cheap restaurant
"
16,bye,"good bye
"
17,inform,"i need a restaurant in the west part of town
"
18,inform,"expensive
"
19,thankyou,"thank you good bye
"
20,thankyou,"thank you good bye
"
21,request,"can i get the phone number and address
"
22,inform,"doesnt matter
"
23,inform,"any type of food
"
24,thankyou,"thank you good bye
"
25,negate,"no
"
26,thankyou,"thank you goodbye
"
27,request,"okay and what area
"
28,request,"what is the address
"
29,request,"can i get the address and phone number
"
30,request,"phone number
"
31,thankyou,"thank you goodbye
"
32,bye,"good bye
"
33,request,"could i get the post code
"
34,inform,"im looking for a restaurant in the south part of town
"
35,negate,"no
"
36,request,"address
"
37,thankyou,"thank you good bye
"
38,request,"can i get the address and phone number
"
39,request,"address
"
40,inform,"north
"
41,request,"what is the address
"
42,inform,"vietnamese
"
43,request,"phone number
"
44,reqalts,"what about american food
"
45,request,"phone number
"
46,inform,"any type
"
47,request,"can i get the address and zip code
"
48,null,"noise
"
49,inform,"chinese foo
"
50,inform,"thare are different expensive restaurants in the east part of town
"
51,negate,"no
"
52,thankyou,"thank you good bye
"
53,confirm,"is it moderately priced
"
54,inform,"id like italian food
"
55,inform,"south
"
56,thankyou,"thank you good bye
"
57,request,"phone number
"
58,inform,"any price range
"
59,request,"what type of food is it
"
60,null,"sil
"
61,thankyou,"thank you goodbye
"
62,inform,"turkish
"
63,reqalts,"how about indian food
"
64,inform,"it doesnt matter
"
65,request,"type of food
"
66,inform,"cheap
"
67,inform,"looking for a restaurant in the east part of town thats moderately priced
"
68,thankyou,"thank you good bye
"
69,inform,"find restaurant in north part of town serving asian food
"
70,reqalts,"how about korean food
"
71,null,"system
"
72,inform,"dont care
"
73,thankyou,"thank you good bye
"
74,request,"what is the price range
"
75,request,"whats its phone number
"
76,thankyou,"thank you good bye
"
77,reqalts,"anything else
"
78,request,"what type of food do they serve
"
79,thankyou,"thank you good bye
"
80,inform,"any
"
81,thankyou,"thank you good bye
"
82,inform,"may i have an expensive restaurant
"
83,request,"what is its post code
"
84,request,"can i have the post code
"
85,request,"phone number
"
86,request,"whats the phone number
"
87,inform,"i am looking for hungarian food
"
88,thankyou,"thank you good bye
"
89,thankyou,"thank you good bye
"
90,inform,"food
"
91,affirm,"yes
"
92,request,"whats the price range
"
93,inform,"vietnamese food
"
94,negate,"uh no
"
95,inform,"danish
"
96,thankyou,"thank you
"
97,request,"what is the address
"
98,inform,"im looking for a cheap restaurant that serves brazilian
"
99,negate,"no in the south
"
100,null,"sil
"
101,thankyou,"thank you good bye
"
102,null,"sil
"
103,request,"phone number
"
104,request,"and the post code
"
105,request,"phone number
"
106,request,"what is the telephone number
"
107,inform,"looking for something moderately priced in the south of town
"
108,affirm,"yes right
"
109,inform,"doesnt matter
"
110,inform,"im looking for a pan asian food in the south of town
"
111,inform,"spanish food
"
112,request,"what is the area
"
113,reqalts,"what about british food
"
114,request,"what is the phone number
"
115,inform,"portuguese food
"
116,inform,"moderate
"
117,inform,"dont care
"
118,inform,"uh west
"
119,affirm,"yes
"
120,inform,"irish
"
121,inform,"asian oriental
"
122,thankyou,"thank you good bye
"
123,inform,"uh it doesnt matter
"
124,thankyou,"thank you good bye
"
125,request,"and the post code
"
126,request,"and their phone number
"
127,inform,"any part
"
128,reqalts,"is there anything else
"
129,inform,"i dont care
"
130,inform,"korean
"
131,thankyou,"thank you good bye
"
132,inform,"moderately
"
133,request,"what is the address
"
134,request,"and the phone number
"
135,thankyou,"thank you good bye
"
136,inform,"north american
"
137,inform,"italian food
"
138,reqalts,"is there anything else
"
139,negate,"no in any area
"
140,request,"phone number
"
141,null,"unintelligible
"
142,inform,"south side
"
143,request,"whats the phone number
"
144,request,"can i have the phone number
"
145,thankyou,"thank you good bye
"
146,inform,"i dont care
"
147,inform,"east
"
148,reqalts,"is there anything else
"
149,inform,"im looking for a cheap restaurant in the north part of town
"
150,thankyou,"thank you goodbye
"
151,request,"phone number
"
152,inform,"im looking for a restaurant in the south part of town
"
153,inform,"portuguese food
"
154,thankyou,"thank you good bye
"
155,inform,"im looking for an expensive restaurant that serves
"
156,request,"phone number
"
157,request,"and price range
"
158,thankyou,"thank you goodbye
"
159,request,"whats the address
"
160,reqalts,"how about the center area
"
161,request,"phone number
"
162,inform,"thai food
"
163,hello,"hi i want to serve a cheap restaurant that serves traditional food
"
164,null,"cough
"
165,inform,"anything
"
166,affirm,"yes
"
167,negate,"no spanish food
"
168,inform,"moderate
"
169,inform,"danish food
"
170,inform,"spanish food
"
171,thankyou,"thank you good bye
"
172,thankyou,"thank you good bye
"
173,affirm,"yes
"
174,inform,"polynesian food
"
175,inform,"expensive
"
176,inform,"i am looking for belgium food
"
177,reqalts,"how about indian food
"
178,inform,"chinese
"
179,request,"the address
"
180,inform,"im looking for a chinese restaurant
"
181,thankyou,"uh thank you good bye
"
182,bye,"good bye
"
183,inform,"the west part of town
"
184,thankyou,"thank you good bye
"
185,thankyou,"thank you good bye
"
186,null,"that serves unintelligible
"
187,inform,"doesnt matter
"
188,reqalts,"how bout asian
"
189,inform,"modern european
"
190,inform,"restaurant
"
191,inform,"i am looking for gastropub food
"
192,thankyou,"thank you good bye
"
193,null,"unintelligible
"
194,inform,"a restaurant in the south part of town hungarian food
"
195,thankyou,"thank you good bye
"
196,inform,"doesnt matter
"
197,request,"can i have the phone number
"
198,request,"price range
"
199,negate,"no
"
200,inform,"find moderately priced brazilian restaurant
"
201,inform,"cheap restaurant north part of town
"
202,request,"may i have the address please
"
203,thankyou,"thank you good bye
"
204,request,"address
"
205,null,"noise
"
206,request,"what is the phone number
"
207,reqalts,"how about chinese
"
208,request,"can i get the phone number and address
"
209,inform,"im looking for an expensive restaurant in the east part of town
"
210,null,"noise
"
211,request,"what is the address
"
212,inform,"im looking for a restaurant in the north part of town
"
213,inform,"any
"
214,inform,"the west part of town
"
215,thankyou,"thank you good bye
"
216,inform,"cheap
"
217,request,"uh okay how about the address
"
218,inform,"center
"
219,inform,"it doesnt matter
"
220,reqalts,"how about chinese food
"
221,request,"what type of food is it
"
222,inform,"moderate priced
"
223,request,"whats the address
"
224,inform,"gastropub
"
225,hello,"hello
"
226,thankyou,"thank you good bye
"
227,inform,"moderately priced serving gastro pub
"
228,thankyou,"thank you good bye
"
229,null,"noise
"
230,null,"noise
"
231,request,"address
"
232,request,"address
"
233,request,"may i have the address
"
234,thankyou,"thank you goodbye
"
235,inform,"uh i want cantonese food
"
236,null,"noise
"
237,inform,"scandinavian food
"
238,request,"may i have the address and post code
"
239,inform,"what about a restaurant serving chinese food
"
240,thankyou,"thank you good bye
"
241,request,"what area is it in
"
242,inform,"im looking for a restaurant that serves
"
243,confirm,"does it serve international food
"
244,request,"the address
"
245,request,"whats the post code
"
246,request,"can i have the address
"
247,affirm,"yes
"
248,inform,"chinese food north part of town
"
249,request,"and whats the price range
"
250,request,"address
"
251,inform,"moderate
"
252,reqalts,"how about indian noise
"
253,request,"may i have the phone number and post code
"
254,inform,"thai
"
255,inform,"it should serve caribbean food
"
256,inform,"south
"
257,thankyou,"thank you good bye
"
258,inform,"i dont care about the price range
"
259,null,"is there
"
260,inform,"moderate restaurant south part of town
"
261,reqalts,"what about indian food
"
262,request,"can i get the address
"
263,reqalts,"how about itailian
"
264,inform,"im looking for an expensive restaurant in the east part of town
"
265,request,"can i have the phone number of the venue
"
266,inform,"thai food
"
267,reqalts,"how about turkish type of food
"
268,affirm,"yea
"
269,thankyou,"thank you good bye
"
270,inform,"north
"
271,null,"sil
"
272,inform,"i do not care
"
273,inform,"im looking for a cheap restaurant in the north part of town
"
274,request,"whats the price range
"
275,inform,"im looking for a cheap restaurant
"
276,request,"can i get the phone number and address
"
277,request,"okay the address
"
278,request,"price range
"
279,thankyou,"thank you goodbye
"
280,inform,"chinese food
"
281,inform,"moderate please
"
282,inform,"expensive
"
283,inform,"place that serves portuguese food
"
284,null,"sil
"
285,request,"and whats the phone number
"
286,inform,"i dont care
"
287,null,"sil
"
288,request,"okay whats the phone number
"
289,request,"the phone number
"
290,inform,"christmas
"
291,inform,"moderately pri
"
292,thankyou,"thank you goodbye
"
293,request,"phone number
"
294,null,"sil
"
295,thankyou,"thank you good bye
"
296,thankyou,"thank you good bye
"
297,affirm,"yes
"
298,thankyou,"and i think thatll do it thank you good bye
"
299,inform,"doesnt matter
"
300,thankyou,"thank you good bye
"
301,reqalts,"how about indian food
"
302,inform,"east
"
303,null,"im looking
"
304,inform,"i dont care
"
305,inform,"any type
"
306,inform,"scottish food
"
307,reqalts,"can you give me a restaurant in east part of town and
"
308,inform,"dont care
"
309,request,"phone number
"
310,request,"could i get the address and post code please
"
311,thankyou,"thank you goodbye
"
312,inform,"any
"
313,null,"noise
"
314,inform,"it doesnt matter
"
315,inform,"expensive
"
316,inform,"moderate
"
317,affirm,"yes
"
318,thankyou,"thank you good bye
"
319,negate,"no
"
320,thankyou,"thank you good bye
"
321,thankyou,"thank you good bye
"
322,inform,"im looking for a moderately priced restaurant
"
323,inform,"european food
"
324,request,"may i have the phone number
"
325,inform,"um it doesnt matter
"
326,inform,"i want a restaurant serving greek food
"
327,affirm,"yes
"
328,inform,"im looking for a cheap restaurant
"
329,request,"where is the address and phone number
"
330,null,"may i
"
331,affirm,"right
"
332,inform,"uh doesnt matter
"
333,inform,"i dont care
"
334,inform,"chinese
"
335,inform,"what about modern european food
"
336,inform,"east
"
337,inform,"vietnamese food
"
338,request,"post code
"
339,thankyou,"thank you good bye
"
340,inform,"venesian
"
341,inform,"can i get tuscan foo
"
342,reqalts,"what about any area
"
343,inform,"any
"
344,reqalts,"ok is there any restaurant that serves chinese food in the east part of town
"
345,inform,"dont care
"
346,thankyou,"thank you good bye
"
347,inform,"south
"
348,thankyou,"thank you good bye
"
349,request,"price range
"
350,thankyou,"thank you
"
351,request,"phone number
"
352,thankyou,"thank you good bye
"
353,inform,"dont care
"
354,affirm,"yes
"
355,inform,"any food
"
356,inform,"i want to find a restaurant in the south part of town
"
357,request,"and can you tell me the phone number
"
358,thankyou,"thank you good bye
"
359,null,"sil
"
360,request,"whats the address
"
361,thankyou,"thank you good bye
"
362,confirm,"is it asian oriental
"
363,inform,"cantonese
"
364,request,"phone number
"
365,inform,"barbecue food
"
366,request,"whats the phone number
"
367,inform,"north
"
368,reqalts,"what about chinese
"
369,thankyou,"thank you good bye
"
370,inform,"i dont care
"
371,inform,"im looking for a cheap restaurant in the north of town
"
372,inform,"id like an expensive restaurant that serves mediteranean food
"
373,thankyou,"thank you good bye
"
374,inform,"id like a restaurant in the north part of town that serves traditional food
"
375,inform,"center
"
