,dialog_act,utterance
0,inform,"looking for an expensive restaurant in the east part of town
"
1,reqalts,"give me something else
"
2,affirm,"yeah im looking for a restaurant in the south part of town that serves international food
"
3,request,"no the phone number
"
4,inform,"expensive european
"
5,inform,"gastropub type food noise
"
6,inform,"im looking for a restaurant in the center of town that serves thai food
"
7,reqalts,"how about indian food
"
8,negate,"noise no
"
9,inform,"i would like an expensive restaurant
"
10,confirm,"is it serving vietnamese food
"
11,inform,"restaurant in the north
"
12,reqalts,"are there any barbecue restaurants
"
13,inform,"uh restaurant in the west part of town with scottish food
"
14,inform,"i want an expensive restaurant in the east part of town
"
15,request,"can i get the address and area of the venue
"
16,inform,"i wanted moderately priced
"
17,inform,"im looking for a restaurant serving asian oriental
"
18,ack,"fine
"
19,null,"what about unintelligible food restaurants
"
20,repeat,"can you repeat that
"
21,hello,"unintelligible hello
"
22,request,"do you have the phone number of the address
"
23,request,"i need the address
"
24,reqalts,"give me another spanish restaurant
"
25,inform,"i am looking for a moderately priced restaurant in the south
"
26,reqalts,"okay what about a a modern european
"
27,inform,"a restaurant in the center of town
"
28,inform,"okay uh how bout turkish
"
29,request,"okay how about the address
"
30,inform,"im looking for a restaurant in the north part of town and it should serve cata
"
31,request,"what part of town is it
"
32,inform,"i want a moderately priced restaurant in the west part of town
"
33,request,"great can i have the address and phone number
"
34,request,"may i get the address phone number and price
"
35,inform,"serving portuguese food
"
36,inform,"is there one in the west area
"
37,inform,"the west
"
38,inform,"im looking for a moderately priced restaurant in the north part of town
"
39,inform,"im looking for a restaurant in the west part of town that serves jamaican food
"
40,inform,"id like to find a restaurant serving crossover food
"
41,null,"in appleton wiscon
"
42,inform,"could i have the asian oriental restaurant
"
43,request,"whats the address phone number and area
"
44,inform,"uh vietnamese
"
45,inform,"id like to find a restaurant that serves portuguese food
"
46,request,"can i have the area of the restaurant
"
47,inform,"i need a restaurant serving chinese food
"
48,request,"great whats the phone number
"
49,inform,"im looking for a restaurant in the east part of town that serves indian food
"
50,inform,"eritrean food
"
51,inform,"im looking for a cheap restaurant in the south part of the town
"
52,inform,"is there greek food
"
53,inform,"indian food noise
"
54,inform,"im looking for a cheap restaurant that serves austrian food
"
55,request,"could i have the address phone number and
"
56,repeat,"again
"
57,reqalts,"another
"
58,inform,"restaurant north part of town
"
59,negate,"no there is no such venue how about portuguese food
"
60,inform,"can i have a cheap restaurant
"
61,inform,"in the center part of
"
62,request,"and postcode
"
63,inform,"i want a restaurant that serves british food
"
64,inform,"could i have a restaurant that serves asian oriental food
"
65,inform,"im looking for a cheap restaurant that sells welsh
"
66,hello,"um hi i want to find a restaurant in the town center that serves
"
67,reqalts,"okay do you have any restaurant that serves italian food
"
68,inform,"alright i want a restaurant in any
"
69,reqalts,"i want a different res
"
70,inform,"find a restaurant serving cannabis food
"
71,request,"what is price range
"
72,inform,"looking for a moderately priced restaurant in the south part of
"
73,inform,"i want an expensive afghan restaurant
"
74,inform,"what about a spanish restuarant
"
75,inform,"im looking for a restaurant in any area
"
76,reqalts,"whats the next one
"
77,inform,"can i get a moderately priced restaurant in the north
"
78,inform,"i dont care but it needs to be in the west part of town
"
79,inform,"im looking to find a moderately priced restaurant
"
80,inform,"can you find a moderately priced restaurant
"
81,inform,"i dont care about price range
"
82,inform,"im looking for a restaurant in the east part of town serving pan asian food
"
83,inform,"im sorry im looking for a moderate priced restaurant
"
84,inform,"im trying to find a moderately priced restaurant that serves swedish food
"
85,reqalts,"what about british food
"
86,inform,"south
"
87,inform,"im looking for hungarian food in the north of town
"
88,inform,"i would like to find a restaurant in the center and it should serve korean food
"
89,inform,"south expensive
"
90,inform,"moderate west
"
91,inform,"i would like a cheap restaurant in the south part of town
"
92,inform,"im looking for a restaurant that serves bistro food
"
93,inform,"restaurant south part of town
"
94,inform,"looking for an expensive restaurant in the east of town
"
95,inform,"what about turkish
"
96,inform,"looking for a restaurant that serves spanish food
"
97,affirm,"uh yes im looking for a restaurant that serves afghan food
"
98,inform,"i want a restaurant that serves british food in the center
"
99,inform,"i would like one thats moderately priced
"
100,ack,"kay
"
101,affirm,"yes serving chinese food
"
102,inform,"you said expensive
"
103,inform,"i want to find a moderately priced restaurant serving spanish food
"
104,inform,"a chinese
"
105,hello,"hi im looking for a restaurant that serves irish food
"
106,null,"how about tha
"
107,null,"can
"
108,request,"i need the address and phone number
"
109,inform,"bask food
"
110,inform,"find restaurant in north part of town serving asian food
"
111,inform,"im looking for a restaurant serving vietnamese food
"
112,inform,"im looking for a cheap restaurant that serves swedish food
"
113,inform,"im looking for a restaurant in the center serving african food
"
114,request,"could i have the address and phone number of the venue
"
115,inform,"and its in the west part of town
"
116,inform,"i would like traditional food in the south part of town
"
117,thankyou,"thanks goodbye
"
118,inform,"halal food
"
119,inform,"fucking west
"
120,request,"can i get the address and phone number and post code
"
121,inform,"im looking for vietnamese food in the north part of town
"
122,inform,"im looking for russian food
"
123,reqalts,"are there any others
"
124,inform,"any kind of food
"
125,reqalts,"if there is no such venue how about italian type of food
"
126,inform,"serving turkish food
"
127,inform,"do you have cuban food
"
128,inform,"expensive korean food
"
129,bye,"unintelligible bye
"
130,inform,"korean type food
"
131,inform,"im looking for a cheap restaurant that serves christmas food
"
132,request,"okay can i get their address
"
133,inform,"im looking for a restaurant in the center that serves turkish food
"
134,inform,"the west part of town i want
"
135,inform,"uh cheap restaurant malaysian food
"
136,inform,"uh turkish
"
137,inform,"cheap spanish restaurant
"
138,affirm,"yes and in french please
"
139,request,"can i get address phone number
"
140,inform,"cheap unintelligible food
"
141,inform,"east part
"
142,inform,"im looking for a restaurant serving
"
143,inform,"restaurant in the east part of town japanese
"
144,inform,"expensive
"
145,inform,"i am looking for a restaurant in the south part of town
"
146,inform,"i want a european restaurant in the center part of town
"
147,confirm,"does it serve gastropub
"
148,inform,"i would like to find a restaurant in the north part of town that serves kosher food
"
149,request,"what food is available in the south part of town
"
150,inform,"im looking for a turkish food restaurant
"
151,inform,"are there any that serves mediterranean type food
"
152,inform,"i am looking fora restaurant that should serve
"
153,inform,"find cheap restaurant in south part of town
"
154,inform,"im looking for a cheap restaurant serving mediterranean food
"
155,null,"im loo
"
156,request,"and what price range is that or nevermind
"
157,inform,"restaurant in the south part of town that serves mexican food
"
158,inform,"moderate restaurant south part of town
"
159,null,"whats the promo code
"
160,affirm,"yeah im in the west part of town and im looking for some vietnamese
"
161,reqalts,"what is the other portuguese restaurant
"
162,thankyou,"breath thank you very much goodbye
"
163,negate,"wait no i wanted portuguese food
"
164,inform,"of the restaurant please
"
165,inform,"serving lebanese food
"
166,null,"previews
"
167,inform,"cheap restaurant east of town
"
168,null,"knocking
"
169,inform,"im looking for a restaurant in the west part of town serving korean
"
170,null,"whats the
"
171,request,"um can i get the address
"
172,request,"postcode
"
173,inform,"and asian food
"
174,request,"where are they located
"
175,reqalts,"just give me one more
"
176,inform,"change that to a chinese restaurant
"
177,inform,"cheap restaurant in the north
"
178,hello,"hi i want to find a moderately priced restaurant in the north part of town
"
179,inform,"serves cheap
"
180,inform,"expensive restaurant south part of town
"
181,hello,"hi im looking for a moderately priced restaurant in the south part of
"
182,hello,"hello welcome
"
183,inform,"im looking for a restaurant that serves italian
"
184,inform,"i am looking for an expensive restaurant
"
185,inform,"well i dont care about the price range
"
186,request,"can i have the address and the phone number
"
187,reqalts,"what about in any area
"
188,inform,"expensive restaurant tuscan food
"
189,inform,"turkish restaurant
"
190,inform,"im looking for a restaurant in the west part of town and it sh
"
191,inform,"im looking for a restaurant serving french food
"
192,inform,"im looking for an expensive restaurant that serves australian food
"
193,inform,"is their korean food
"
194,inform,"can i have a british restaurant
"
195,request,"oh where is it
"
196,inform,"im looking for a cheap restaurant that serves jamaican food
"
197,inform,"in the east part of town
"
198,inform,"tailand
"
199,request,"okay and whats their phone number please
"
200,reqalts,"what about indian food in the cheap price range
"
201,inform,"i would like to find a restaurant in the north part of town
"
202,negate,"no im looking for a moderately priced restaurant that
"
203,negate,"what no
"
204,request,"can i have the address phone number and
"
205,inform,"expensive restaurant expensive restaurant east
"
206,inform,"i would like malaysian food in the center part of
"
207,request,"whats the address phone number and area of the venue
"
208,inform,"i want to find a moderately priced restaurant on the east p
"
209,thankyou,"kay thank you goodbye
"
210,request,"what price range
"
211,request,"alright whats its phone number
"
212,inform,"im looking for a restaurant in the center of town that serves
"
213,inform,"im looking for a restaurant in the center of town serving jamaican food
"
214,request,"the address and post code
"
215,reqalts,"how about gastro type
"
216,inform,"i dont give a damn about chinese food i want thai food
"
217,request,"may i have he phone number please
"
218,inform,"turkish food any area
"
219,request,"okay and what kind of food do they serve
"
220,request,"um address
"
221,affirm,"yes spanish restaurant
"
222,request,"noise can i have the phone number
"
223,inform,"i want a restaurant serving greek food
"
224,request,"and phone number please
"
225,reqalts,"another type of food
"
226,null,"uh
"
227,inform,"itailian
"
228,request,"and what is the post code
"
229,null,"tell me number
"
230,inform,"the south side
"
231,inform,"are there any cantonese restaurants
"
232,inform,"can i have the european food
"
233,inform,"i am looking for hungarian food
"
234,inform,"i want a moderately priced restaurant that
"
235,inform,"can i find a restaurant with gastropub food
"
236,inform,"moderately priced food
"
237,inform,"uh the centre
"
238,inform,"noise i want to find a restaurant that ser
"
239,request,"may i have the phone number to the turkiesh
"
240,inform,"aristrain food
"
241,inform,"in the center
"
242,inform,"singaporean
"
243,null,"inaudible
"
244,null,"i changed my mind
"
245,inform,"im looking for vegetarian food
"
246,inform,"i want a restaurant in the west part of town serving australian food
"
247,inform,"dont care expensive
"
248,request,"can i have the phone number of the venue
"
249,inform,"australia asian food
"
250,inform,"im looking for a restaurant that serves chinese food
"
251,request,"okay good whats the address and phone number
"
252,request,"i want to know the phone number
"
253,inform,"im looking for italian food though
"
254,inform,"north town
"
255,inform,"any japanese restaurants
"
256,hello,"hi i am looking for a moderately priced restaurant in the west
"
257,inform,"uh african food
"
258,request,"could i have the address and price range please
"
259,inform,"noise ease part of town east
"
260,inform,"i need a cheap restaurant that serves romanian food
"
261,request,"um could you give me the address
"
262,inform,"a cheap restaurant in
"
263,inform,"a moderately place restaurant
"
264,request,"whats the phone number and address
"
265,inform,"im looking for a restaurant in the north part of town serving malaysian food
"
266,inform,"um i dont know
"
267,inform,"persian
"
268,request,"okay whats its address
"
269,inform,"im looking for a restaurant in the north of town serving korean french food
"
270,inform,"cheap in the east part of town
"
271,negate,"no im looking for pan asian food
"
272,inform,"i want to find chinese food
"
273,inform,"im looking for a cheap restaurant that serves italian food
"
274,reqalts,"okay how about any area
"
275,inform,"i want a singaporean food restaurant
"
276,inform,"im looking for a cheap restaurant serving russian food
"
277,request,"what is the area
"
278,negate,"no the north
"
279,confirm,"does it serve sea food
"
280,inform,"spanish food any area
"
281,request,"what type of food do they serve
"
282,inform,"serve persian food
"
283,inform,"im looking for a restaurant serving venetian food
"
284,inform,"austrian food
"
285,inform,"uh moderate restaurant in the south part of town
"
286,inform,"i want a turkish restaurant in the center part of town
"
287,inform,"air tran
"
288,null,"um i want
"
289,inform,"can i have spanish food in
"
290,reqalts,"um how about european food
"
291,bye,"okay good bye
"
292,request,"and what is the post code again
"
293,affirm,"yes id like to find a cheap
"
294,inform,"a restaurant that serves scandinavian food
"
295,inform,"a restaurant
"
296,null,"is there any
"
297,inform,"im looking for a restaurant in the north part of town serving italian food
"
298,request,"what is la margheritas address
"
299,inform,"id like a restaurant in the west part of town
"
300,request,"and what is the address
"
301,inform,"i am looking for a cheap restaurant in the east part of town
"
302,request,"id like the phone number of the restaurant you just told me
"
303,null,"expen
"
304,request,"uh could i have the phone number
"
305,request,"the type of food
"
306,request,"alright do you have the phone number for that one
"
307,request,"what is the address
"
308,inform,"italian
"
309,inform,"expensive restaurants
"
310,reqalts,"i dont want that give me another spanish choice
"
311,null,"and the one before
"
312,inform,"fusion food
"
313,inform,"a restaurant in the south part of town that serves italian food
"
314,inform,"im looking for a restaurant in the south part of town serving korean food
"
315,request,"and the post code please
"
316,confirm,"does it serve canapes food noise
"
317,request,"where is it lcoated
"
318,inform,"im looking for a restaurant in the south part of town with creative food
"
319,inform,"i want to find a restaurant serving world food
"
320,repeat,"repeat
"
321,inform,"im looking for a restaurant serving chinese food
"
322,inform,"that serves indian food
"
323,null,"oh my god
"
324,request,"address phone number and postcode
"
325,inform,"would like expensive
"
326,inform,"im looking for a moderately priced restaurant in the south
"
327,request,"okay and ah can i get their phone number please
"
328,inform,"a restaurant serving thai food
"
329,inform,"i want indonesian food
"
330,inform,"i would like to find a restaurant in any area serving international food
"
331,inform,"cheap cheap restaurant
"
332,null,"pan
"
333,inform,"im looking for a restaurant in the center of town that serves russian food
"
334,inform,"im looking for a restaurant in any area that serves malaysian food
"
335,inform,"i am looking for a moderately priced restaurant and it should
"
336,inform,"im looking for a restaurant that serves thai food
"
337,inform,"im looking for an expensive restaurant and it should serve fus
"
338,inform,"uh any area
"
339,affirm,"thats correct
"
340,request,"could i get the address
"
341,request,"and the price range
"
342,inform,"cheap price range
"
343,inform,"okay um well how bout portuguese
"
344,request,"okay can i have the phone number and the post code please
"
345,reqalts,"okay how about asian oriental
"
346,request,"what is the phone number a
"
347,inform,"ne vietnamese
"
348,inform,"im looking for an expensive restaurant serving international food
"
349,inform,"cheap restaurant uh italian food
"
350,negate,"no i want spanish food
"
351,inform,"uh european food
"
352,thankyou,"thank you goodbye
"
